web-scraper-order,web-scraper-start-url,pagination,pagination-href,Text_select,Titulo ,Nota_element
"1561503681-818","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","280","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1395-Air-France","Pena a decadencia que se tem notado nos ultimos tempos, sobretudo nos voos Intercontinentais.Pior experiancia num voo Airbus A380 em que o espaco dos assentos nada tem a ver com o mesmo aviao de outras companhias.","Decadencia","<span class=""ui_bubble_rating bubble_30""></span>"
"1561503876-1122","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","190","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or945-Air-France","Viagem muito boa, atendimento de primeira linha , comissários atenciosos, espaço interno da aeronave bom, serviço de bordo nota 10","Excelente companhia","<span class=""ui_bubble_rating bubble_50""></span>"
"1561504479-2064","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","206","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1025-Air-France","Fui surpreendida com um up grade da classe econômica para econômica premim.De fato, o conforto é maior,fomos presenteadas com mimos como necessaire com alguns produtos, o que torna o vôo muito mais agradável.Alie-se a isso a pontualidade.O ponto fraco continua sendo a alimentação.Tanto na ida quanto na volta a alimentação estava sofrível.","Boa companhia","<span class=""ui_bubble_rating bubble_40""></span>"
"1561503836-1057","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","210","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1045-Air-France","Nos voos transatlânticos a pontualidade é muito grande, nos voos internos as vezes ocorrem pequenos atrasos. O pessoal de solo é gentil e eficaz na acolhida. Os tripulantes são extremamente profissionais, calorosos e simpáticos. O serviço de bordo é primoroso e extremamente bem cuidado. Talvez a única coisa desagradável é a nova disposição dos assentos na classe executiva...","Pontualidade nos voos transatlanticos, pequenos atrasos nos voos internos, acolhimento gentil e eficaz,","<span class=""ui_bubble_rating bubble_50""></span>"
"1561503961-1251","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","151","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or750-Air-France","Serviço de bordo ótimo , lanche delicioso e balanceado , organização , ótimo atendimento  e profissionalismo","Muito boa","<span class=""ui_bubble_rating bubble_50""></span>"
"1561503937-1216","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","162","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or805-Air-France","Empresa muito bem organizada, ótimo atendimento e profissionais muito bem treinados e capacitados. experiencia satisfatória.","Sensacional","<span class=""ui_bubble_rating bubble_50""></span>"
"1561503950-1238","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","156","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or775-Air-France","Eficiência no atendimento e alto padrão de vôo. Infelizmente tive vários problemasao tentar efetuar uma compra com milhas e mudar o minha cidade de saída pelo site. Depois de várias tentativas o atendimento via telefone do Flying Blue conseguiu resolver o problema, mais o desgaste foi expressivo. Além disto minha bagagem foi extraviada no voo de Berlin para Barcelona.","Atendimento eficiente","<span class=""ui_bubble_rating bubble_40""></span>"
"1561503843-1066","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","207","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1030-Air-France","Primeira vez que viajei na classe econômica premium. Achei muito bom custo-beneficio. Poltronas melhores e serviço mais diferenciado. Cheguei no destino menos cansado. A alimentação ainda não pode ser considerada um diferencial (já foi bem melhor).","Vale investir na econômica premium","<span class=""ui_bubble_rating bubble_40""></span>"
"1561504096-1465","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","87","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or430-Air-France","Voamos de Paris para Rio com a Air France em janeiro de 2018. A executiva tem arranjo 2-3-2, o que foi interessante para nós, pois éramos dois adultos e uma criança pequena (3 anos). 

O serviço é bom, mas fiquei decepcionado com o menu do jantar. Acabei não pedindo antecipadamente menu especial, pois achei que teria opções boas, mas não havia nada no cardápio que eu pudesse comer, pois sou alérgico a crustáceos e não como peixe. Havia frango, mas com molho de Lagosta. Acabei não comendo o prato quente.

As opções de filmes e programas de TV eram boas. 

A poltrona não é full-flat, mas é confortável. O que atrapalhou meu sono foi o fato de estar perto da cozinha (fileira 5) e o barulho da preparação do café da manhã acabou me acordando mais cedo.","Arranjo interessante para família na executiva","<span class=""ui_bubble_rating bubble_40""></span>"
"1561504393-1929","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","125","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or620-Air-France","Experiência de vôo incrível! Espaço e muito conforto para poder desfrutar do vôo com tranquilidade. Refeições maravilhosas! Vale e muito voar com a Air France.","Excelente","<span class=""ui_bubble_rating bubble_50""></span>"
